variant,profile,code,start,end,start_equity,end_equity,total_return,max_drawdown,trade_count,status
original,original,510050,2024-01-03,2026-06-18,100000.0,104343.59,4.34%,-9.04%,96.0,
original,original,510300,2024-01-03,2026-06-18,100000.0,108830.94,8.83%,-10.12%,82.0,
original,original,510500,2024-01-03,2026-06-18,100000.0,132943.11,32.94%,-10.60%,77.0,
original,original,512100,2024-01-03,2026-06-18,100000.0,123108.7,23.11%,-13.77%,66.0,
original,original,159915,2024-01-03,2026-06-18,100000.0,238300.39,138.30%,-25.49%,62.0,
original,original,159949,2024-01-03,2026-06-18,100000.0,181177.92,81.18%,-25.35%,69.0,
original,original,588000,2024-01-03,2026-06-18,100000.0,231039.29,131.04%,-19.03%,83.0,
original,original,588080,2024-01-03,2026-06-18,100000.0,254159.91,154.16%,-18.23%,82.0,
original,original,512880,2024-01-03,2026-06-18,100000.0,117366.47,17.37%,-19.44%,95.0,
original,original,512800,2024-01-03,2026-06-18,100000.0,55010.2,-44.99%,-53.91%,78.0,
original,original,512070,2024-01-03,2026-06-18,100000.0,97854.48,-2.15%,-13.20%,77.0,
original,original,510880,2024-01-03,2026-06-18,100000.0,108711.58,8.71%,-6.04%,79.0,
original,original,515180,2024-01-03,2026-06-18,100000.0,100841.3,0.84%,-9.11%,83.0,
original,original,159928,2024-01-03,2026-06-18,100000.0,105227.4,5.23%,-9.15%,93.0,
original,original,512600,2024-01-03,2026-06-18,100000.0,107256.97,7.26%,-8.98%,88.0,
original,original,512010,2024-01-03,2026-06-18,100000.0,101922.53,1.92%,-21.38%,110.0,
original,original,512170,2024-01-03,2026-06-18,100000.0,107362.03,7.36%,-16.28%,96.0,
original,original,512480,2024-01-03,2026-06-18,100000.0,188917.29,88.92%,-13.88%,69.0,
original,original,515050,2024-01-03,2026-06-18,100000.0,152927.85,52.93%,-16.09%,65.0,
original,original,515700,2024-01-03,2026-06-18,100000.0,143229.73,43.23%,-18.77%,88.0,
original,original,515790,2024-01-03,2026-06-18,100000.0,124849.2,24.85%,-21.60%,100.0,
original,original,516160,2024-01-03,2026-06-18,100000.0,88720.57,-11.28%,-22.91%,92.0,
original,original,512660,2024-01-03,2026-06-18,100000.0,195314.28,95.31%,-15.10%,88.0,
original,original,512690,2024-01-03,2026-06-18,100000.0,89742.25,-10.26%,-21.54%,105.0,
trend,trend,510050,2024-01-03,2026-06-18,100000.0,100144.62,0.14%,-5.72%,18.0,
trend,trend,510300,2024-01-03,2026-06-18,100000.0,97005.5,-2.99%,-2.99%,13.0,
trend,trend,510500,2024-01-03,2026-06-18,100000.0,112007.54,12.01%,-8.67%,11.0,
trend,trend,512100,2024-01-03,2026-06-18,100000.0,99216.0,-0.78%,-1.70%,2.0,
trend,trend,159915,2024-01-03,2026-06-18,100000.0,147684.14,47.68%,-6.01%,5.0,
trend,trend,159949,2024-01-03,2026-06-18,100000.0,101029.01,1.03%,-13.24%,14.0,
trend,trend,588000,2024-01-03,2026-06-18,100000.0,113522.1,13.52%,-10.56%,3.0,
trend,trend,588080,2024-01-03,2026-06-18,100000.0,100000.0,0.00%,0.00%,0.0,
trend,trend,512880,2024-01-03,2026-06-18,100000.0,135906.43,35.91%,-10.76%,6.0,
trend,trend,512800,2024-01-03,2026-06-18,100000.0,59757.9,-40.24%,-49.93%,25.0,
trend,trend,512070,2024-01-03,2026-06-18,100000.0,105663.32,5.66%,-5.30%,11.0,
trend,trend,510880,2024-01-03,2026-06-18,100000.0,99343.34,-0.66%,-3.57%,22.0,
trend,trend,515180,2024-01-03,2026-06-18,100000.0,99095.78,-0.90%,-4.09%,15.0,
trend,trend,159928,2024-01-03,2026-06-18,100000.0,107081.25,7.08%,-5.20%,11.0,
trend,trend,512600,2024-01-03,2026-06-18,100000.0,108212.73,8.21%,-4.42%,11.0,
trend,trend,512010,2024-01-03,2026-06-18,100000.0,96815.47,-3.18%,-5.50%,11.0,
trend,trend,512170,2024-01-03,2026-06-18,100000.0,92814.45,-7.19%,-7.68%,12.0,
trend,trend,512480,2024-01-03,2026-06-18,100000.0,100000.0,0.00%,0.00%,0.0,
trend,trend,515050,2024-01-03,2026-06-18,100000.0,81477.82,-18.52%,-18.78%,18.0,
trend,trend,515700,2024-01-03,2026-06-18,100000.0,91867.47,-8.13%,-8.17%,11.0,
trend,trend,515790,2024-01-03,2026-06-18,100000.0,95250.85,-4.75%,-5.47%,5.0,
trend,trend,516160,2024-01-03,2026-06-18,100000.0,94932.94,-5.07%,-12.02%,11.0,
trend,trend,512660,2024-01-03,2026-06-18,100000.0,112553.37,12.55%,-9.27%,14.0,
trend,trend,512690,2024-01-03,2026-06-18,100000.0,99139.26,-0.86%,-1.46%,3.0,
trend_exit2,trend_exit2,510050,2024-01-03,2026-06-18,100000.0,98309.32,-1.69%,-8.10%,18.0,
trend_exit2,trend_exit2,510300,2024-01-03,2026-06-18,100000.0,93785.7,-6.21%,-6.21%,14.0,
trend_exit2,trend_exit2,510500,2024-01-03,2026-06-18,100000.0,119384.12,19.38%,-7.83%,8.0,
trend_exit2,trend_exit2,512100,2024-01-03,2026-06-18,100000.0,99888.2,-0.11%,-1.69%,2.0,
trend_exit2,trend_exit2,159915,2024-01-03,2026-06-18,100000.0,146392.22,46.39%,-6.40%,5.0,
trend_exit2,trend_exit2,159949,2024-01-03,2026-06-18,100000.0,141771.08,41.77%,-13.99%,8.0,
trend_exit2,trend_exit2,588000,2024-01-03,2026-06-18,100000.0,116972.57,16.97%,-10.53%,3.0,
trend_exit2,trend_exit2,588080,2024-01-03,2026-06-18,100000.0,100000.0,0.00%,0.00%,0.0,
trend_exit2,trend_exit2,512880,2024-01-03,2026-06-18,100000.0,144056.7,44.06%,-14.80%,6.0,
trend_exit2,trend_exit2,512800,2024-01-03,2026-06-18,100000.0,60480.79,-39.52%,-50.14%,18.0,
trend_exit2,trend_exit2,512070,2024-01-03,2026-06-18,100000.0,108294.86,8.29%,-9.89%,12.0,
trend_exit2,trend_exit2,510880,2024-01-03,2026-06-18,100000.0,99501.94,-0.50%,-4.46%,14.0,
trend_exit2,trend_exit2,515180,2024-01-03,2026-06-18,100000.0,100251.61,0.25%,-3.84%,12.0,
trend_exit2,trend_exit2,159928,2024-01-03,2026-06-18,100000.0,103676.21,3.68%,-6.17%,11.0,
trend_exit2,trend_exit2,512600,2024-01-03,2026-06-18,100000.0,104371.97,4.37%,-5.61%,11.0,
trend_exit2,trend_exit2,512010,2024-01-03,2026-06-18,100000.0,92083.66,-7.92%,-10.45%,11.0,
trend_exit2,trend_exit2,512170,2024-01-03,2026-06-18,100000.0,95838.85,-4.16%,-7.96%,9.0,
trend_exit2,trend_exit2,512480,2024-01-03,2026-06-18,100000.0,100000.0,0.00%,0.00%,0.0,
trend_exit2,trend_exit2,515050,2024-01-03,2026-06-18,100000.0,87357.31,-12.64%,-13.93%,12.0,
trend_exit2,trend_exit2,515700,2024-01-03,2026-06-18,100000.0,86503.79,-13.50%,-13.53%,11.0,
trend_exit2,trend_exit2,515790,2024-01-03,2026-06-18,100000.0,96191.94,-3.81%,-5.44%,5.0,
trend_exit2,trend_exit2,516160,2024-01-03,2026-06-18,100000.0,93327.86,-6.67%,-11.99%,11.0,
trend_exit2,trend_exit2,512660,2024-01-03,2026-06-18,100000.0,107836.19,7.84%,-13.03%,11.0,
trend_exit2,trend_exit2,512690,2024-01-03,2026-06-18,100000.0,99139.26,-0.86%,-1.46%,3.0,
adaptive,original,510050,2024-01-03,2026-06-18,100000.0,104343.59,4.34%,-9.04%,96.0,
adaptive,original,510300,2024-01-03,2026-06-18,100000.0,108830.94,8.83%,-10.12%,82.0,
adaptive,original,510500,2024-01-03,2026-06-18,100000.0,132943.11,32.94%,-10.60%,77.0,
adaptive,original,512100,2024-01-03,2026-06-18,100000.0,123108.7,23.11%,-13.77%,66.0,
adaptive,trend,159915,2024-01-03,2026-06-18,100000.0,147684.14,47.68%,-6.01%,5.0,
adaptive,original,159949,2024-01-03,2026-06-18,100000.0,181177.92,81.18%,-25.35%,69.0,
adaptive,original,588000,2024-01-03,2026-06-18,100000.0,231039.29,131.04%,-19.03%,83.0,
adaptive,original,588080,2024-01-03,2026-06-18,100000.0,254159.91,154.16%,-18.23%,82.0,
adaptive,trend_exit2,512880,2024-01-03,2026-06-18,100000.0,144056.7,44.06%,-14.80%,6.0,
adaptive,skip,512800,,,,,,,,skipped
adaptive,trend_exit2,512070,2024-01-03,2026-06-18,100000.0,108294.86,8.29%,-9.89%,12.0,
adaptive,original,510880,2024-01-03,2026-06-18,100000.0,108711.58,8.71%,-6.04%,79.0,
adaptive,original,515180,2024-01-03,2026-06-18,100000.0,100841.3,0.84%,-9.11%,83.0,
adaptive,original,159928,2024-01-03,2026-06-18,100000.0,105227.4,5.23%,-9.15%,93.0,
adaptive,original,512600,2024-01-03,2026-06-18,100000.0,107256.97,7.26%,-8.98%,88.0,
adaptive,original,512010,2024-01-03,2026-06-18,100000.0,101922.53,1.92%,-21.38%,110.0,
adaptive,original,512170,2024-01-03,2026-06-18,100000.0,107362.03,7.36%,-16.28%,96.0,
adaptive,original,512480,2024-01-03,2026-06-18,100000.0,188917.29,88.92%,-13.88%,69.0,
adaptive,original,515050,2024-01-03,2026-06-18,100000.0,152927.85,52.93%,-16.09%,65.0,
adaptive,original,515700,2024-01-03,2026-06-18,100000.0,143229.73,43.23%,-18.77%,88.0,
adaptive,original,515790,2024-01-03,2026-06-18,100000.0,124849.2,24.85%,-21.60%,100.0,
adaptive,skip,516160,,,,,,,,skipped
adaptive,original,512660,2024-01-03,2026-06-18,100000.0,195314.28,95.31%,-15.10%,88.0,
adaptive,skip,512690,,,,,,,,skipped
